driver,driver_number,team,lap,position,lap_time,lap_time_sec,race_time_sec,gap_to_leader_sec,interval_sec,compound,tyre_life,stint,fresh_tyre,pit_in_time,pit_out_time,is_pit_lap,track_status,deleted
RUS,63,Mercedes,1,1.0,0 days 00:01:35.211000,95.211,3590.955,0.0,0.0,MEDIUM,1.0,1.0,True,,,False,1,False
HAM,44,Mercedes,1,2.0,0 days 00:01:36.034000,96.034,3591.778,0.8229999999998654,0.8229999999998654,MEDIUM,1.0,1.0,True,,,False,1,False
VER,1,Red Bull Racing,1,3.0,0 days 00:01:36.711000,96.711,3592.455,1.5,0.6770000000001346,MEDIUM,1.0,1.0,True,,,False,1,False
NOR,4,McLaren,1,4.0,0 days 00:01:37.347000,97.347,3593.091,2.1359999999999673,0.6359999999999673,MEDIUM,1.0,1.0,True,,,False,1,False
PIA,81,McLaren,1,5.0,0 days 00:01:38.008000,98.008,3593.752,2.7970000000000255,0.6610000000000582,MEDIUM,1.0,1.0,True,,,False,1,False
SAI,55,Ferrari,1,6.0,0 days 00:01:38.699000,98.699,3594.443,3.4880000000002838,0.6910000000002583,MEDIUM,1.0,1.0,True,,,False,1,False
STR,18,Aston Martin,1,7.0,0 days 00:01:39.108000,99.108,3594.852,3.8969999999999345,0.40899999999965075,MEDIUM,1.0,1.0,True,,,False,1,False
LEC,16,Ferrari,1,8.0,0 days 00:01:39.663000,99.663,3595.407,4.4520000000002256,0.555000000000291,MEDIUM,1.0,1.0,True,,,False,1,False
HUL,27,Haas F1 Team,1,9.0,0 days 00:01:40.166000,100.166,3595.91,4.954999999999927,0.5029999999997017,MEDIUM,1.0,1.0,True,,,False,1,False
ALO,14,Aston Martin,1,10.0,0 days 00:01:40.474000,100.474,3596.218,5.26299999999992,0.3079999999999927,MEDIUM,1.0,1.0,True,,,False,1,False
TSU,22,RB,1,11.0,0 days 00:01:41.109000,101.109,3596.853,5.898000000000138,0.6350000000002183,MEDIUM,1.0,1.0,True,,,False,1,False
ALB,23,Williams,1,12.0,0 days 00:01:41.588000,101.588,3597.332,6.376999999999953,0.47899999999981446,MEDIUM,1.0,1.0,True,,,False,1,False
SAR,2,Williams,1,13.0,0 days 00:01:41.772000,101.772,3597.516,6.561000000000149,0.18400000000019645,MEDIUM,1.0,1.0,True,,,False,1,False
ZHO,24,Kick Sauber,1,14.0,0 days 00:01:42.231000,102.231,3597.975,7.019999999999982,0.45899999999983265,SOFT,1.0,1.0,True,,,False,1,False
RIC,3,RB,1,15.0,0 days 00:01:42.715000,102.715,3598.459,7.503999999999905,0.4839999999999236,MEDIUM,1.0,1.0,True,,,False,1,False
OCO,31,Alpine,1,16.0,0 days 00:01:43.052000,103.052,3598.796,7.8409999999998945,0.3369999999999891,SOFT,1.0,1.0,True,,,False,1,False
MAG,20,Haas F1 Team,1,17.0,0 days 00:01:43.681000,103.681,3599.425,8.470000000000255,0.6290000000003602,MEDIUM,1.0,1.0,True,,,False,1,False
BOT,77,Kick Sauber,1,18.0,0 days 00:01:44.290000,104.29,3600.034,9.079000000000178,0.6089999999999236,MEDIUM,1.0,1.0,True,,,False,1,False
PER,11,Red Bull Racing,1,19.0,0 days 00:01:49.458000,109.458,3605.202,14.247000000000298,5.16800000000012,HARD,1.0,1.0,True,,0 days 00:58:28.260000,True,1,False
RUS,63,Mercedes,2,1.0,0 days 00:01:31.418000,91.418,3682.373,0.0,0.0,MEDIUM,2.0,1.0,True,,,False,1,False
HAM,44,Mercedes,2,2.0,0 days 00:01:31.420000,91.42,3683.198,0.8249999999998181,0.8249999999998181,MEDIUM,2.0,1.0,True,,,False,1,False
VER,1,Red Bull Racing,2,3.0,0 days 00:01:31.773000,91.773,3684.228,1.8550000000000182,1.0300000000002,MEDIUM,2.0,1.0,True,,,False,1,False
NOR,4,McLaren,2,4.0,0 days 00:01:32.188000,92.188,3685.279,2.905999999999949,1.0509999999999309,MEDIUM,2.0,1.0,True,,,False,1,False
PIA,81,McLaren,2,5.0,0 days 00:01:32.361000,92.361,3686.113,3.7399999999997817,0.8339999999998327,MEDIUM,2.0,1.0,True,,,False,1,False
SAI,55,Ferrari,2,6.0,0 days 00:01:32.359000,92.359,3686.802,4.429000000000087,0.6890000000003056,MEDIUM,2.0,1.0,True,,,False,1,False
STR,18,Aston Martin,2,7.0,0 days 00:01:32.683000,92.683,3687.535,5.161999999999807,0.7329999999997199,MEDIUM,2.0,1.0,True,,,False,1,False
LEC,16,Ferrari,2,8.0,0 days 00:01:32.858000,92.858,3688.265,5.891999999999825,0.7300000000000182,MEDIUM,2.0,1.0,True,,,False,1,False
HUL,27,Haas F1 Team,2,9.0,0 days 00:01:32.844000,92.844,3688.754,6.380999999999858,0.48900000000003274,MEDIUM,2.0,1.0,True,,,False,1,False
ALO,14,Aston Martin,2,10.0,0 days 00:01:33.202000,93.202,3689.42,7.0470000000000255,0.6660000000001673,MEDIUM,2.0,1.0,True,,,False,1,False
TSU,22,RB,2,11.0,0 days 00:01:33.214000,93.214,3690.067,7.69399999999996,0.6469999999999345,MEDIUM,2.0,1.0,True,,,False,1,False
ALB,23,Williams,2,12.0,0 days 00:01:33.158000,93.158,3690.49,8.116999999999734,0.42299999999977445,MEDIUM,2.0,1.0,True,,,False,1,False
SAR,2,Williams,2,13.0,0 days 00:01:33.435000,93.435,3690.951,8.577999999999975,0.4610000000002401,MEDIUM,2.0,1.0,True,,,False,1,False
ZHO,24,Kick Sauber,2,14.0,0 days 00:01:33.563000,93.563,3691.538,9.164999999999964,0.5869999999999891,SOFT,2.0,1.0,True,,,False,1,False
RIC,3,RB,2,15.0,0 days 00:01:33.709000,93.709,3692.168,9.795000000000073,0.6300000000001091,MEDIUM,2.0,1.0,True,,,False,1,False
OCO,31,Alpine,2,16.0,0 days 00:01:33.846000,93.846,3692.642,10.268999999999778,0.4739999999997053,SOFT,2.0,1.0,True,,,False,1,False
MAG,20,Haas F1 Team,2,17.0,0 days 00:01:34.216000,94.216,3693.641,11.268000000000029,0.999000000000251,MEDIUM,2.0,1.0,True,,,False,1,False
BOT,77,Kick Sauber,2,18.0,0 days 00:01:35.368000,95.368,3695.402,13.028999999999996,1.7609999999999673,MEDIUM,2.0,1.0,True,,,False,1,False
PER,11,Red Bull Racing,2,19.0,0 days 00:01:32.942000,92.942,3698.144,15.77099999999973,2.7419999999997344,HARD,2.0,1.0,True,,,False,1,False
RUS,63,Mercedes,3,1.0,0 days 00:01:31.298000,91.298,3773.671,0.0,0.0,MEDIUM,3.0,1.0,True,,,False,1,False
HAM,44,Mercedes,3,2.0,0 days 00:01:31.716000,91.716,3774.914,1.243000000000393,1.243000000000393,MEDIUM,3.0,1.0,True,,,False,1,False
VER,1,Red Bull Racing,3,3.0,0 days 00:01:32.200000,92.2,3776.428,2.757000000000062,1.513999999999669,MEDIUM,3.0,1.0,True,,,False,1,False
NOR,4,McLaren,3,4.0,0 days 00:01:31.991000,91.991,3777.27,3.59900000000016,0.8420000000000982,MEDIUM,3.0,1.0,True,,,False,1,False
PIA,81,McLaren,3,5.0,0 days 00:01:31.927000,91.927,3778.04,4.369000000000142,0.7699999999999818,MEDIUM,3.0,1.0,True,,,False,1,False
SAI,55,Ferrari,3,6.0,0 days 00:01:32.102000,92.102,3778.904,5.233000000000175,0.8640000000000327,MEDIUM,3.0,1.0,True,,,False,1,False
